Mode,K,Precision@K,Recall@K,Hit@K,Faithfulness,Answer_Relevancy
Baseline,5,0.6402,0.8569,0.8958,0.585,0.9027
HyDE,5,0.6067,0.8475,0.8819,0.5829,0.8859
CoT,5,0.6402,0.8569,0.8958,0.5847,0.8782
Proposed (HyDE+CoT),5,0.5956,0.8405,0.875,0.606,0.8724
