K,Kondisi,n_run,Faithfulness,AnsRel,Prec@K,Recall@K,Hit@K,Faithfulness_std,AnsRel_std,Prec@K_std,Recall@K_std,Hit@K_std
3,Baseline,5,0.6485,0.894,0.7465,0.8569,0.9097,0.0255,0.0029,0.0,0.0,0.0
3,HyDE,5,0.6385,0.8676,0.756,0.8553,0.8986,0.017,0.0051,0.0029,0.0105,0.0105
5,Baseline,5,0.6954,0.9128,0.6881,0.9056,0.9583,0.0093,0.0008,0.0,0.0,0.0
5,HyDE,5,0.6615,0.8953,0.7048,0.8924,0.9347,0.0136,0.0039,0.0084,0.0116,0.0105
10,Baseline,5,0.7283,0.9103,0.622,0.9303,0.9653,0.0079,0.0026,0.0,0.0,0.0
10,HyDE,5,0.6944,0.9164,0.6008,0.9359,0.9694,0.0157,0.0054,0.0069,0.0077,0.0062
