kategori,n,precision_at_k,recall_at_k,hit_at_k,faithfulness,answer_relevancy
Computer Vision,76,0.7237,0.8342,0.8816,0.6802,0.8788
Telecom/Radar,30,0.9333,0.9667,0.9667,0.6322,0.8988
Software Eng/IT,22,0.6894,0.7727,0.8636,0.7,0.8716
NLP,5,0.5667,0.8,0.8,0.9167,0.7499
ML/Forecasting,4,1.0,1.0,1.0,0.6042,0.9228
Drone/UAV,4,0.7083,1.0,1.0,0.6042,0.9382
E-Nose/Sensor,3,0.3333,0.7778,1.0,0.5417,0.6213
