kategori,n,precision_at_k,recall_at_k,hit_at_k,faithfulness,answer_relevancy
Computer Vision,76,0.1842,0.8557,0.8816,0.5114,0.6801
Telecom/Radar,30,0.2,1.0,1.0,0.6178,0.9022
Software Eng/IT,22,0.2,0.8409,0.9091,0.7,0.8232
NLP,5,0.12,0.6,0.6,0.3667,0.7329
ML/Forecasting,4,0.2,1.0,1.0,0.5417,0.9165
Drone/UAV,4,0.25,1.0,1.0,0.5833,0.9336
E-Nose/Sensor,3,0.2,0.7778,1.0,0.2778,0.6091
