kategori,n,precision_at_k,recall_at_k,hit_at_k,faithfulness,answer_relevancy
Computer Vision,76,0.6237,0.8013,0.8421,0.6008,0.8578
Telecom/Radar,30,0.6611,1.0,1.0,0.6011,0.9365
Software Eng/IT,22,0.5909,0.8409,0.9091,0.6183,0.8707
NLP,5,0.3833,0.8,0.8,0.6267,0.9148
ML/Forecasting,4,0.875,1.0,1.0,0.75,0.9181
Drone/UAV,4,0.5833,1.0,1.0,0.8333,0.9393
E-Nose/Sensor,3,0.25,0.4444,0.6667,0.375,0.3045
