kategori,n,precision_at_k,recall_at_k,hit_at_k,faithfulness,answer_relevancy
Computer Vision,76,0.5798,0.7855,0.8158,0.5927,0.847
Telecom/Radar,30,0.6111,1.0,1.0,0.6289,0.9359
Software Eng/IT,22,0.6212,0.8788,0.9545,0.5958,0.827
NLP,5,0.4,0.8,0.8,0.61,0.9208
ML/Forecasting,4,1.0,1.0,1.0,0.5417,0.9168
Drone/UAV,4,0.5,1.0,1.0,0.75,0.9314
E-Nose/Sensor,3,0.25,0.4444,0.6667,0.625,0.6199
