kategori,n,precision_at_k,recall_at_k,hit_at_k,faithfulness,answer_relevancy
Computer Vision,76,0.5778,0.8934,0.9342,0.6395,0.9139
Telecom/Radar,30,0.7833,1.0,1.0,0.7361,0.9364
Software Eng/IT,22,0.5159,0.9394,1.0,0.7481,0.9101
NLP,5,0.5167,1.0,1.0,0.8,0.923
ML/Forecasting,4,0.875,1.0,1.0,0.7768,0.9375
Drone/UAV,4,0.5833,1.0,1.0,0.5167,0.9406
E-Nose/Sensor,3,0.2611,0.7778,1.0,0.5833,0.8962
