kategori,n,precision_at_k,recall_at_k,hit_at_k,faithfulness,answer_relevancy
Computer Vision,76,0.5645,0.7855,0.8158,0.5853,0.8959
Telecom/Radar,30,0.6611,1.0,1.0,0.4156,0.9302
Software Eng/IT,22,0.6136,0.8636,0.9545,0.6177,0.9016
NLP,5,0.3833,0.8,0.8,0.5282,0.9279
ML/Forecasting,4,1.0,1.0,1.0,0.6667,0.9197
Drone/UAV,4,0.4583,1.0,1.0,0.5833,0.9306
E-Nose/Sensor,3,0.25,0.4444,0.6667,0.4444,0.9146
