kategori,n,precision_at_k,recall_at_k,hit_at_k,faithfulness,answer_relevancy
Computer Vision,76,0.6697,0.8452,0.8947,0.6759,0.899
Telecom/Radar,30,0.8833,0.9667,0.9667,0.65,0.9022
Software Eng/IT,22,0.6742,0.9091,1.0,0.6962,0.9142
NLP,5,0.5667,0.8,0.8,0.5333,0.9292
ML/Forecasting,4,1.0,1.0,1.0,0.7917,0.9242
Drone/UAV,4,0.6667,1.0,1.0,0.6458,0.9449
E-Nose/Sensor,3,0.3056,0.7778,1.0,1.0,0.2936
