kategori,n,precision_at_k,recall_at_k,hit_at_k,faithfulness,answer_relevancy
Computer Vision,76,0.6732,0.8627,0.9079,0.6496,0.8974
Telecom/Radar,30,0.8333,0.9667,0.9667,0.6333,0.9034
Software Eng/IT,22,0.6515,0.9091,1.0,0.8061,0.9147
NLP,5,0.5667,0.8,0.8,0.6533,0.9248
ML/Forecasting,4,1.0,1.0,1.0,0.6042,0.9216
Drone/UAV,4,0.6667,1.0,1.0,0.6625,0.9286
E-Nose/Sensor,3,0.3333,0.7778,1.0,0.7222,0.8992
