kategori,n,precision_at_k,recall_at_k,hit_at_k,faithfulness,answer_relevancy
Computer Vision,76,0.5893,0.7658,0.8026,0.6014,0.8341
Telecom/Radar,30,0.6278,1.0,1.0,0.565,0.9349
Software Eng/IT,22,0.5909,0.8182,0.9091,0.6405,0.8692
NLP,5,0.3833,0.8,0.8,0.6133,0.9203
ML/Forecasting,4,0.875,1.0,1.0,0.75,0.9198
Drone/UAV,4,0.5833,1.0,1.0,0.8333,0.9372
E-Nose/Sensor,3,0.2778,0.4444,0.6667,0.4444,0.9148
