kategori,n,precision_at_k,recall_at_k,hit_at_k,faithfulness,answer_relevancy
Computer Vision,76,0.6623,0.8934,0.9474,0.6359,0.8973
Telecom/Radar,30,0.8833,0.9667,0.9667,0.7213,0.9024
Software Eng/IT,22,0.5417,0.8485,0.9545,0.6576,0.9133
NLP,5,0.5,1.0,1.0,0.6833,0.9008
ML/Forecasting,4,0.875,1.0,1.0,0.625,0.9459
Drone/UAV,4,0.875,0.875,1.0,0.5333,0.938
E-Nose/Sensor,3,0.2778,0.7778,1.0,0.2222,0.9383
