kategori,n,precision_at_k,recall_at_k,hit_at_k,faithfulness,answer_relevancy
Computer Vision,76,0.1763,0.8184,0.8421,0.4941,0.6527
Telecom/Radar,30,0.2,1.0,1.0,0.5506,0.9368
Software Eng/IT,22,0.2364,0.9394,0.9545,0.6734,0.8258
NLP,5,0.16,0.8,0.8,0.3333,0.7213
ML/Forecasting,4,0.2,1.0,1.0,0.5208,0.6927
Drone/UAV,4,0.25,1.0,1.0,0.3125,0.9366
E-Nose/Sensor,3,0.2,0.7778,1.0,0.8,0.2873
