kategori,n,precision_at_k,recall_at_k,hit_at_k,faithfulness,answer_relevancy
Computer Vision,76,0.5759,0.7461,0.7763,0.5942,0.8847
Telecom/Radar,30,0.6833,1.0,1.0,0.6356,0.9384
Software Eng/IT,22,0.5379,0.7727,0.8636,0.7067,0.8653
NLP,5,0.3833,0.8,0.8,0.7,0.9173
ML/Forecasting,4,0.75,1.0,1.0,0.5333,0.9169
Drone/UAV,4,0.5833,1.0,1.0,0.9167,0.9387
E-Nose/Sensor,3,0.2778,0.4444,0.6667,0.3333,0.9118
