kategori,n,precision_at_k,recall_at_k,hit_at_k,faithfulness,answer_relevancy
Computer Vision,76,0.6645,0.8561,0.8947,0.7082,0.888
Telecom/Radar,30,0.9,0.9667,0.9667,0.6868,0.9049
Software Eng/IT,22,0.6894,0.9242,1.0,0.775,0.9168
NLP,5,0.5667,0.8,0.8,0.5833,0.929
ML/Forecasting,4,1.0,1.0,1.0,0.6833,0.9225
Drone/UAV,4,0.6667,1.0,1.0,0.8125,0.9325
E-Nose/Sensor,3,0.2778,0.7778,1.0,0.6667,0.2936
