kategori,n,precision_at_k,recall_at_k,hit_at_k,faithfulness,answer_relevancy
Computer Vision,76,0.6548,0.8386,0.8947,0.6739,0.8984
Telecom/Radar,30,0.85,0.9667,0.9667,0.6408,0.907
Software Eng/IT,22,0.6856,0.9242,1.0,0.772,0.9089
NLP,5,0.5667,0.8,0.8,0.7233,0.9277
ML/Forecasting,4,1.0,1.0,1.0,0.8542,0.922
Drone/UAV,4,0.6667,1.0,1.0,0.6583,0.9449
E-Nose/Sensor,3,0.3056,0.7778,1.0,0.5417,0.5994
