kategori,n,precision_at_k,recall_at_k,hit_at_k,faithfulness,answer_relevancy
Computer Vision,76,0.6768,0.8715,0.9079,0.6757,0.8954
Telecom/Radar,30,0.8667,0.9667,0.9667,0.6397,0.9066
Software Eng/IT,22,0.6402,0.9242,1.0,0.8008,0.9133
NLP,5,0.5667,0.8,0.8,0.6,0.9292
ML/Forecasting,4,1.0,1.0,1.0,0.7083,0.9321
Drone/UAV,4,0.6667,1.0,1.0,0.85,0.9344
E-Nose/Sensor,3,0.3333,0.7778,1.0,0.5,0.6062
