kategori,n,precision_at_k,recall_at_k,hit_at_k,faithfulness,answer_relevancy
Computer Vision,76,0.5857,0.7855,0.8158,0.5723,0.8811
Telecom/Radar,30,0.6111,1.0,1.0,0.5294,0.9363
Software Eng/IT,22,0.5947,0.8182,0.9091,0.6356,0.9016
NLP,5,0.3167,0.8,0.8,0.6333,0.9102
ML/Forecasting,4,1.0,1.0,1.0,0.4375,0.9209
Drone/UAV,4,0.5833,1.0,1.0,0.75,0.9346
E-Nose/Sensor,3,0.1944,0.4444,0.6667,0.5333,0.9237
