kategori,n,precision_at_k,recall_at_k,hit_at_k,faithfulness,answer_relevancy
Computer Vision,76,0.7478,0.8671,0.9211,0.6405,0.901
Telecom/Radar,30,0.9,0.9667,0.9667,0.6569,0.9043
Software Eng/IT,22,0.6136,0.7121,0.8182,0.6833,0.8787
NLP,5,0.3333,0.6,0.6,0.7367,0.9292
ML/Forecasting,4,1.0,1.0,1.0,0.6354,0.9189
Drone/UAV,4,0.875,0.875,1.0,0.5,0.9459
E-Nose/Sensor,3,0.3333,0.7778,1.0,0.4167,0.6233
