kategori,n,precision_at_k,recall_at_k,hit_at_k,faithfulness,answer_relevancy
Computer Vision,76,0.6033,0.8013,0.8421,0.5967,0.8621
Telecom/Radar,30,0.6444,1.0,1.0,0.6767,0.9338
Software Eng/IT,22,0.6326,0.8788,0.9545,0.6533,0.8277
NLP,5,0.3833,0.8,0.8,0.7648,0.9215
ML/Forecasting,4,0.875,1.0,1.0,0.7292,0.895
Drone/UAV,4,0.5833,1.0,1.0,0.75,0.9467
E-Nose/Sensor,3,0.2778,0.4444,0.6667,0.5556,0.9031
