kategori,n,precision_at_k,recall_at_k,hit_at_k,faithfulness,answer_relevancy
Computer Vision,76,0.6515,0.8623,0.8816,0.6474,0.9116
Telecom/Radar,30,0.8333,0.9667,0.9667,0.6299,0.8993
Software Eng/IT,22,0.6288,0.9091,1.0,0.7606,0.9088
NLP,5,0.5333,0.8,0.8,0.7125,0.7436
ML/Forecasting,4,1.0,1.0,1.0,0.7708,0.9284
Drone/UAV,4,0.6667,1.0,1.0,0.575,0.9495
E-Nose/Sensor,3,0.1111,0.3333,0.3333,0.5,0.597
