kategori,n,precision_at_k,recall_at_k,hit_at_k,faithfulness,answer_relevancy
Computer Vision,76,0.6623,0.8934,0.9474,0.7329,0.9132
Telecom/Radar,30,0.8833,0.9667,0.9667,0.6565,0.9033
Software Eng/IT,22,0.5417,0.8485,0.9545,0.742,0.9113
NLP,5,0.5,1.0,1.0,0.55,0.9327
ML/Forecasting,4,0.875,1.0,1.0,0.7083,0.9496
Drone/UAV,4,0.875,0.875,1.0,0.6625,0.9382
E-Nose/Sensor,3,0.2778,0.7778,1.0,0.5833,0.931
