kategori,n,precision_at_k,recall_at_k,hit_at_k,faithfulness,answer_relevancy
Computer Vision,76,0.6669,0.8386,0.8947,0.6695,0.886
Telecom/Radar,30,0.85,0.9667,0.9667,0.6592,0.9072
Software Eng/IT,22,0.6591,0.9091,1.0,0.8091,0.9169
NLP,5,0.5667,0.8,0.8,0.6333,0.9264
ML/Forecasting,4,1.0,1.0,1.0,0.7708,0.9258
Drone/UAV,4,0.6667,1.0,1.0,0.7292,0.9449
E-Nose/Sensor,3,0.3056,0.7778,1.0,0.8056,0.8941
